,ID,Brand,Category,Product Name ,Price,Reviewer,Review,Product Purchase,Ratings,Date Of Review,Response,tokenized_review,Polarity,Score
987,452,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , rosebay17 from www.tryandreview.com,5 weeks of using this product,lume (ml):152,5,19-Feb-20,no,"['week', 'use', 'product']",0,0
988,452,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , rosebay17 from www.tryandreview.com,my skin complexion is brighter more even and looks so smooth and plumped texture wise,lume (ml):152,5,19-Feb-20,no,"['skin', 'complexion', 'look', 'smooth', 'plump', 'texture', 'wise']",1,2
989,452,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , rosebay17 from www.tryandreview.com,highly recommend,lume (ml):152,5,19-Feb-20,no,['recommend'],1,1
990,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,i bought this myself because i wanted to start using anti aging products though i should have started early when i hit 30,lume (ml):152,5,19-Feb-20,no,"['buy', 'want', 'start', 'use', 'anti', 'age', 'product', 'start', 'hit']",0,0
991,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,you see i have acneprone sensitive oilskin and now add aging skin and its always been hard to balance things out,lume (ml):152,5,19-Feb-20,no,"['see', 'acneprone', 'sensitive', 'oilskin', 'add', 'age', 'skin', 'hard', 'balance', 'thing']",0,0
992,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,my acne would dry up and so is my skin,lume (ml):152,5,19-Feb-20,no,"['would', 'dry', 'skin']",0,0
993,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,if i used stuff for sensitive skin it barely works on my acne,lume (ml):152,5,19-Feb-20,no,"['use', 'stuff', 'sensitive', 'skin', 'work']",1,2
994,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,in short i am cursed lol but i chose to address my acne because wrinkles does literally hurt,lume (ml):152,5,19-Feb-20,no,"['short', 'curse', 'lol', 'choose', 'address', 'hurt']",-1,-2
995,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,i bought this april 1 and its been 7 days and my brow,lume (ml):152,5,19-Feb-20,no,"['buy', 'day', 'brow']",0,0
996,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,wrinkles the no 11 i swear to my ancestors lol is not so deep anymore,lume (ml):152,5,19-Feb-20,no,"['swear', 'ancestor', 'lol']",0,0
997,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,its becoming less visible,lume (ml):152,5,19-Feb-20,no,"['become', 'visible']",0,0
998,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,of course its still there beauty products its not magic at also takes time to address problems,lume (ml):152,5,19-Feb-20,no,"['course', 'beauty', 'product', 'magic', 'take', 'time', 'address', 'problem']",1,1
999,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,but this product gave me hope,lume (ml):152,5,19-Feb-20,no,"['product', 'give', 'hope']",0,0
1000,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,and most important it dint break me out,lume (ml):152,5,19-Feb-20,no,"['important', 'break']",0,0
1001,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,thats the most important quality i look for in a product,lume (ml):152,5,19-Feb-20,no,"['s', 'important', 'quality', 'look', 'product']",1,1
1002,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,so im sure glad i bought this,lume (ml):152,5,19-Feb-20,no,"['be', 'sure', 'buy']",0,0
1003,453,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Deathkakwate from www.tryandreview.com,if it showed improvement for 7 days how much more if i use it longer,lume (ml):152,5,19-Feb-20,no,"['show', 'improvement', 'day', 'much', 'use']",1,1
1004,454,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Sokhoonchua from www.tryandreview.com,i waited more days for the result to see if it really helps to improve my skin condition so i can give a better review,lume (ml):152,3,19-Feb-20,no,"['waited', 'day', 'result', 'see', 'help', 'improve', 'skin', 'condition', 'give', 'well', 'review']",1,2
1005,454,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Sokhoonchua from www.tryandreview.com,the lotion instantly hydrated my skin upon application,lume (ml):152,3,19-Feb-20,no,"['lotion', 'hydrate', 'skin', 'application']",0,0
1006,454,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Sokhoonchua from www.tryandreview.com,floral fragrant smell is nice with slightly thicker than water feel takes a while to absorb into the skin and still leave slight sticky feeling even after padding but it is acceptable to me,lume (ml):152,3,19-Feb-20,no,"['floral', 'fragrant', 'smell', 'nice', 'thick', 'water', 'feel', 'take', 'absorb', 'skin', 'leave', 'slight', 'sticky', 'feeling', 'pad', 'acceptable']",0,0
1007,454,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Sokhoonchua from www.tryandreview.com,however it does not help to maintain the moisture long enough for me especially during the day as i have very dry skin condition,lume (ml):152,3,19-Feb-20,no,"['help', 'maintain', 'moisture', 'long', 'day', 'dry', 'skin', 'condition']",0,0
1008,454,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Sokhoonchua from www.tryandreview.com,not as effective for mature dry skin if you want to see immediate result,lume (ml):152,3,19-Feb-20,no,"['effective', 'mature', 'dry', 'skin', 'want', 'see', 'immediate', 'result']",1,2
1009,454,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Sokhoonchua from www.tryandreview.com,but i am willing to continue using it and see if it does improve my dry skin condition after finishing the bottle,lume (ml):152,3,19-Feb-20,no,"['willing', 'continue', 'use', 'improve', 'dry', 'skin', 'condition', 'finish', 'bottle']",1,2
1010,454,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Sokhoonchua from www.tryandreview.com,lastly thank you try review for giving me this free product to try out,lume (ml):152,3,19-Feb-20,no,"['thank', 'try', 'review', 'give', 'free', 'product', 'try']",1,2
1011,454,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Sokhoonchua from www.tryandreview.com,i would recommend to younger female friends for now,lume (ml):152,3,19-Feb-20,no,"['would', 'recommend', 'young', 'female', 'friend']",1,1
1012,455,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , TrendyMissy from www.tryandreview.com,tried the product for almost 2 weeks now,lume (ml):152,4,19-Feb-20,no,"['try', 'product', 'week']",0,0
1013,455,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , TrendyMissy from www.tryandreview.com,use it day night daily,lume (ml):152,4,19-Feb-20,no,['night'],0,0
1014,455,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , TrendyMissy from www.tryandreview.com,upon application face seems a little oily however after some good patting product seems to be absorbed,lume (ml):152,4,19-Feb-20,no,"['application', 'face', 'seem', 'little', 'good', 'patting', 'product', 'seem', 'absorb']",1,0
1015,455,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , TrendyMissy from www.tryandreview.com,skin gets smoother and more hydrated after 3 days,lume (ml):152,4,19-Feb-20,no,"['skin', 'get', 'smooth', 'hydrate', 'day']",1,1
1016,455,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , TrendyMissy from www.tryandreview.com,a good product for daily care,lume (ml):152,4,19-Feb-20,no,"['good', 'daily', 'care']",1,1
1017,455,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , TrendyMissy from www.tryandreview.com,a big thank u to try review and lorean for the free sample,lume (ml):152,4,19-Feb-20,no,"['try', 'review', 'free', 'sample']",1,1
1018,456,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Shermin9 from www.tryandreview.com,have been using this product for the past few days so far so good,lume (ml):152,5,19-Feb-20,no,"['use', 'product', 'past', 'day', 'good']",1,1
1019,456,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Shermin9 from www.tryandreview.com,gentle and moisturising to the skin really hydration,lume (ml):152,5,19-Feb-20,no,"['gentle', 'moisturising', 'skin', 'hydration']",1,1
1020,457,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , PaulineLee from www.tryandreview.com,thank you lorean try review,lume (ml):152,5,19-Feb-20,no,"['thank', 'try', 'review']",1,1
1021,457,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , PaulineLee from www.tryandreview.com,waited more days to give a better review,lume (ml):152,5,19-Feb-20,no,"['waited', 'day', 'give', 'well', 'review']",1,1
1022,457,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , PaulineLee from www.tryandreview.com,i apply it every morning and night for the last 2 weeks,lume (ml):152,5,19-Feb-20,no,"['apply', 'morning', 'night', 'last', 'week']",0,0
1023,457,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , PaulineLee from www.tryandreview.com,no sticky feeling on face,lume (ml):152,5,19-Feb-20,no,"['sticky', 'feeling', 'face']",-1,-1
1024,457,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , PaulineLee from www.tryandreview.com,absorbs very well and felt skin is firmer and smoother,lume (ml):152,5,19-Feb-20,no,"['feel', 'skin', 'firm', 'smooth']",1,1
1025,457,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , PaulineLee from www.tryandreview.com,will recommend to friends,lume (ml):152,5,19-Feb-20,no,"['recommend', 'friend']",1,1
1026,458,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Cristinetan from www.tryandreview.com,after using as per instruction it left me with a sticky feeling,lume (ml):152,1,19-Feb-20,no,"['use', 'instruction', 'leave', 'sticky', 'feeling']",-1,-1
1027,458,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Cristinetan from www.tryandreview.com,think its not suitable for me,lume (ml):152,1,19-Feb-20,no,"['think', 'suitable']",1,1
1028,458,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Cristinetan from www.tryandreview.com,but thanks for selecting me for this test,lume (ml):152,1,19-Feb-20,no,"['thank', 'select', 'test']",1,1
1029,459,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , yleeyufang from www.tryandreview.com,received this free from try and review,lume (ml):152,5,19-Feb-20,no,"['receive', 'free', 'try', 'review']",1,1
1030,459,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , yleeyufang from www.tryandreview.com,I have always shunned away from products that are thick and sticky but giving this revitalise fenella anti aging micro essence a try i was surprised that the product was not that sticky on my skin after all,lume (ml):152,5,19-Feb-20,no,"['shun', 'product', 'thick', 'sticky', 'giving', 'revitalise', 'anti', 'age', 'micro', 'essence', 'try', 'surprised', 'product', 'sticky', 'skin']",-1,-3
1031,459,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , yleeyufang from www.tryandreview.com,my skin feels hydrated and smoother after continuous use for 5 days,lume (ml):152,5,19-Feb-20,no,"['skin', 'feel', 'hydrate', 'smooth', 'continuous', 'use', 'day']",1,1
1032,460,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , NicoleCC from www.tryandreview.com,product really lives up to it is reputation,lume (ml):152,4,19-Feb-20,no,"['product', 'live', 'reputation']",1,1
1033,460,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , NicoleCC from www.tryandreview.com,my skin feels more taut and hydrated,lume (ml):152,4,19-Feb-20,no,"['skin', 'feel', 'hydrate']",0,0
1034,460,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , NicoleCC from www.tryandreview.com,kudos for the packaging and still maintaining the affordability,lume (ml):152,4,19-Feb-20,no,"['packaging', 'maintain', 'affordability']",0,0
1035,461,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , SharonPeters from www.tryandreview.com,am seeing gradual improvement in my complexion,lume (ml):152,5,19-Feb-20,no,"['see', 'gradual', 'improvement', 'complexion']",1,1
1036,461,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , SharonPeters from www.tryandreview.com,over time and with persistent application i have confidence in a better and fresher look,lume (ml):152,5,19-Feb-20,no,"['time', 'persistent', 'application', 'confidence', 'well', 'fresh', 'look']",1,3
1037,462,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , bluryw from www.tryandreview.com,firstly would like to thank you l oral and try and review,lume (ml):152,5,19-Feb-20,no,"['would', 'thank', 'oral', 'try', 'review']",1,1
1038,462,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , bluryw from www.tryandreview.com,the essence smell great and felt sticky when pour out,lume (ml):152,5,19-Feb-20,no,"['essence', 'feel', 'sticky', 'pour']",-1,-1
1039,462,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , bluryw from www.tryandreview.com,however when apply on the skin you does not felt the sticky ness on your face,lume (ml):152,5,19-Feb-20,no,"['apply', 'skin', 'feel', 'sticky', 'ness', 'face']",-1,-1
1040,462,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , bluryw from www.tryandreview.com,also i pour it onto the cotton pad and apply like a mask,lume (ml):152,5,19-Feb-20,no,"['pour', 'cotton', 'pad', 'apply', 'mask']",0,0
1041,462,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , bluryw from www.tryandreview.com,you feel your skin smooth and firm after apply,lume (ml):152,5,19-Feb-20,no,"['feel', 'skin', 'smooth', 'firm', 'apply']",1,1
1042,462,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , bluryw from www.tryandreview.com,great product,lume (ml):152,5,19-Feb-20,no,"['great', 'product']",1,1
1043,463,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Christine88 from www.tryandreview.com,like this essence very much,lume (ml):152,5,19-Feb-20,no,"['essence', 'much']",0,0
1044,463,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Christine88 from www.tryandreview.com,the smell is good and after apply skin feel refresh,lume (ml):152,5,19-Feb-20,no,"['good', 'apply', 'skin', 'feel', 'refresh']",1,2
1045,463,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Christine88 from www.tryandreview.com,i can easily apply my moisturiser cream and foundation,lume (ml):152,5,19-Feb-20,no,['apply'],0,0
1046,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,i included this product into my beauty routine for 10 days,lume (ml):152,5,19-Feb-20,no,"['include', 'product', 'beauty', 'routine', 'day']",1,1
1047,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,a lightweight and non greasy product that was v lightly fragrance,lume (ml):152,5,19-Feb-20,no,"['product', 'v', 'fragrance']",0,0
1048,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,my skin is both dehydrated and sensitive and i was initially worried that i might break out from using a new product or that this product would not be hydration enough,lume (ml):152,5,19-Feb-20,no,"['skin', 'dehydrate', 'sensitive', 'worried', 'may', 'break', 'use', 'new', 'product', 'product', 'would', 'hydration']",-1,-1
1049,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,both my fears were unfounded,lume (ml):152,5,19-Feb-20,no,['unfounded'],-1,-1
1050,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,i appreciated how quickly this product was absorbed into my skin though i used 7 8 drops more than the recommended 4 5 drops,lume (ml):152,5,19-Feb-20,no,"['appreciate', 'quickly', 'product', 'absorb', 'skin', 'use', 'drop', 'recommend', 'drop']",1,2
1051,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,a little really goes a long way in the first three days my face suffer from minor breakout caused by using over 10 drops of the product each time,lume (ml):152,5,19-Feb-20,no,"['little', 'go', 'long', 'way', 'first', 'day', 'face', 'suffer', 'minor', 'breakout', 'cause', 'use', 'drop', 'product', 'time']",-1,-1
1052,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,once i decreased the amount it was fine,lume (ml):152,5,19-Feb-20,no,"['decrease', 'amount', 'fine']",1,1
1053,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,i used a magnifying mirror to examine my face before and after my skincare routinely and i m pleased to discover that the fine lines looked less obvious with my skin looking more plumped up,lume (ml):152,5,19-Feb-20,no,"['use', 'magnify', 'mirror', 'examine', 'face', 'please', 'discover', 'fine', 'line', 'look', 'obvious', 'skin', 'look', 'plump']",1,1
1054,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,makeup application was smooth and as long lasting as when i was using another similar higher end product,lume (ml):152,5,19-Feb-20,no,"['makeup', 'application', 'smooth', 'last', 'use', 'similar', 'high', 'end', 'product']",1,1
1055,464,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Annatte from www.tryandreview.com,i would recommend it to those with dry or dehydrated skin concerns,lume (ml):152,5,19-Feb-20,no,"['would', 'recommend', 'dry', 'dehydrated', 'skin', 'concern']",0,0
1056,465,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , mxaviera from www.tryandreview.com,i used this product for a week and half approx 10 days in the morning and night after toner before moisturiser,lume (ml):152,5,19-Feb-20,no,"['use', 'product', 'week', 'approx', 'day', 'morning', 'night', 'moisturiser']",0,0
1057,465,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , mxaviera from www.tryandreview.com,like how it s easily absorbed in my skin,lume (ml):152,5,19-Feb-20,no,"['absorb', 'skin']",0,0
1058,465,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , mxaviera from www.tryandreview.com,i can see that my skin looks much more hydrated and softer,lume (ml):152,5,19-Feb-20,no,"['see', 'skin', 'look', 'hydrated', 'soft']",1,1
1059,465,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , mxaviera from www.tryandreview.com,it also feels much more smoother,lume (ml):152,5,19-Feb-20,no,"['feel', 'smooth']",1,1
1060,465,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , mxaviera from www.tryandreview.com,will definitely buy again,lume (ml):152,5,19-Feb-20,no,['buy'],0,0
1061,466,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , JYT from www.tryandreview.com,super love this product my skin feels more hydrated am doing soft after using this for more than 10 days,lume (ml):152,5,19-Feb-20,no,"['love', 'product', 'skin', 'feel', 'hydrate', 'soft', 'use', 'day']",1,2
1062,466,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , JYT from www.tryandreview.com,my make up stays longer and i do not have that tight feel,lume (ml):152,5,19-Feb-20,no,"['make', 'stay', 'tight', 'feel']",0,0
1063,467,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , anneamg0528 from www.tryandreview.com,as years go by a lot of skin issues raised,lume (ml):152,5,19-Feb-20,no,"['year', 'go', 'lot', 'skin', 'issue', 'raise']",-1,-1
1064,467,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , anneamg0528 from www.tryandreview.com,ageing skin become more sensitive wrinkles and dryness coming out,lume (ml):152,5,19-Feb-20,no,"['age', 'skin', 'become', 'sensitive', 'wrinkle', 'dryness', 'come']",0,0
1065,467,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , anneamg0528 from www.tryandreview.com,local paris revitalise essence water an anti ageing product that keeps my skin hydrated made my pimple dry looked plumped and feels smooth,lume (ml):152,5,19-Feb-20,no,"['local', 'water', 'anti', 'age', 'product', 'keep', 'skin', 'make', 'dry', 'look', 'plumped', 'feel', 'smooth']",1,1
1066,468,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Friennie from www.tryandreview.com,had been using this product every day and night before my moisturizer and makeup for 5 days my skin condition turning more and more radiant and smoother,lume (ml):152,5,19-Feb-20,no,"['use', 'product', 'day', 'night', 'moisturizer', 'makeup', 'day', 'skin', 'condition', 'turn', 'radiant', 'smoother']",1,2
1067,469,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , EVelyn10 from www.tryandreview.com,i have been using this very morning and night after toner for 10 days,lume (ml):152,5,19-Feb-20,no,"['use', 'morning', 'night', 'toner', 'day']",0,0
1068,469,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , EVelyn10 from www.tryandreview.com,the product is adsorbed very quickly into the skin and skin feels smooth without any oily or sticky feel,lume (ml):152,5,19-Feb-20,no,"['product', 'adsorb', 'skin', 'skin', 'feel', 'smooth', 'sticky', 'feel']",0,0
1069,469,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , EVelyn10 from www.tryandreview.com,after 10 days i can see that my skin colour is more even and radiant and my skin also feels and looks more moisturizer,lume (ml):152,5,19-Feb-20,no,"['day', 'see', 'skin', 'colour', 'radiant', 'skin', 'feel', 'look', 'moisturizer']",1,1
1070,469,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , EVelyn10 from www.tryandreview.com,will highly recommend this,lume (ml):152,5,19-Feb-20,no,['recommend'],1,1
1071,470,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , sewhoon from www.tryandreview.com,slight improve of firmness after applying for 3 consecutive days,lume (ml):152,5,19-Feb-20,no,"['slight', 'improve', 'firmness', 'apply', 'consecutive', 'day']",1,1
1072,470,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , sewhoon from www.tryandreview.com,hope by using revitalise day cream together with it will further improve my skin,lume (ml):152,5,19-Feb-20,no,"['hope', 'use', 'day', 'cream', 'improve']",1,1
1073,470,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , sewhoon from www.tryandreview.com,the texture is slightly viscous but gets absorbed into skin fast,lume (ml):152,5,19-Feb-20,no,"['texture', 'viscous', 'get', 'absorb', 'skin']",0,0
1074,471,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Zu3rain76 from www.tryandreview.com,I have tried this for about a week,lume (ml):152,5,19-Feb-20,no,"['try', 'week']",0,0
1075,471,L-oreal-Paris,Face Treatments Serums,L'Oréal Paris Revitalift Centella Anti-Aging Micro Essence 130ml,$26.90 , Zu3rain76 from www.tryandreview.com,my skin was dry before but after trying this my skin feels hydrated refreshed and smoother,lume (ml):152,5,19-Feb-20,no,"['skin', 'dry', 'try', 'skin', 'feel', 'hydrated', 'refresh', 'smoother']",1,2
